Source,Target,Type,ID,Label,timeset,Weight
"We have: 1 0, 6 1's, 6 2's, 5 3's, 4 4's, 3 5's, 3 6's, 2 7's, 2 8's.","We have: 4 1's, 3 2's, 2 3's, 2 4's, 1 5, 1 7, 1 8.",Directed,1665,,,1
"We have: 1 0, 6 1's, 6 2's, 5 3's, 6 4's, 5 5's, 4 6's, 1 8.","We have: 3 1's, 5 2's, 4 3's, 4 4's, 2 5's.",Directed,1666,,,2
"We have: 1 0, 6 1's, 6 2's, 5 3's, 6 4's, 5 5's, 4 6's, 1 7.","We have: 3 1's, 5 2's, 4 3's, 4 4's, 2 5's.",Directed,1667,,,5
"We have: 1 0, 6 1's, 6 2's, 6 3's, 5 5's, 6 6's, 1 7, 1 8.","We have: 2 1's, 5 2's, 5 3's, 3 5's, 1 6.",Directed,1668,,,6
"We have: 1 0, 6 1's, 6 2's, 6 3's, 1 4, 5 5's, 6 6's, 1 8.","We have: 2 1's, 5 2's, 5 3's, 3 5's, 1 6.",Directed,1669,,,1
"We have: 1 0, 6 1's, 6 2's, 6 3's, 1 4, 5 5's, 6 6's, 1 7.","We have: 2 1's, 5 2's, 5 3's, 3 5's, 1 6.",Directed,1670,,,7
"We have: 1 0, 6 1's, 6 2's, 6 3's, 4 4's, 5 5's, 4 6's, 1 7, 1 8.","We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.",Directed,1671,,,4
"We have: 1 0, 6 1's, 6 2's, 6 3's, 6 4's, 4 5's, 7 6's, 2 7's.","We have: 4 1's, 4 2's, 5 3's, 4 4's, 3 5's, 2 6's.",Directed,1672,,,1
"We have: 1 0, 6 1's, 6 2's, 7 3's, 3 4's, 1 5, 3 6's, 3 7's, 2 8's.","We have: 3 1's, 4 2's, 3 3's, 2 4's, 1 7, 1 8.",Directed,1673,,,4
"We have: 1 0, 6 1's, 6 2's, 7 3's, 3 4's, 2 5's, 3 6's, 3 7's, 1 8.","We have: 3 1's, 4 2's, 3 3's, 2 4's, 1 5, 1 7.",Directed,1674,,,3
"We have: 1 0, 6 1's, 6 2's, 7 3's, 4 4's, 4 5's, 3 6's, 4 7's, 1 8.","We have: 3 1's, 5 2's, 5 3's, 3 5's, 2 7's.",Directed,1675,,,2
"We have: 1 0, 6 1's, 6 2's, 7 3's, 5 4's, 4 5's, 6 6's, 2 7's, 3 8's.","We have: 4 1's, 4 2's, 5 3's, 3 4's, 2 5's, 2 6's, 2 8's.",Directed,1676,,,3
"We have: 1 0, 6 1's, 6 2's, 7 3's, 6 4's, 5 5's, 4 6's, 2 7's, 3 8's.","We have: 4 1's, 4 2's, 5 3's, 4 4's, 3 5's, 2 8's.",Directed,1677,,,5
"We have: 1 0, 6 1's, 6 2's, 8 3's, 1 4, 5 5's, 3 6's, 1 7, 3 8's.","We have: 2 1's, 5 2's, 5 3's, 3 5's, 1 8.",Directed,1678,,,6
"We have: 1 0, 6 1's, 6 2's, 8 3's, 3 4's, 4 5's, 3 6's, 1 7, 4 8's.","We have: 3 1's, 5 2's, 5 3's, 3 5's, 2 8's.",Directed,1679,,,2
"We have: 1 0, 6 1's, 6 2's, 8 3's, 5 4's, 4 5's, 3 6's, 3 7's, 2 8's.","We have: 4 1's, 4 2's, 5 3's, 3 4's, 2 5's, 2 7's.",Directed,1680,,,2
"We have: 1 0, 6 1's, 7 2's, 5 3's, 2 4's, 4 5's, 3 6's, 3 7's, 1 8.","We have: 3 1's, 5 2's, 2 3's, 2 5's, 1 6, 1 7.",Directed,1681,,,4
"We have: 1 0, 6 1's, 7 2's, 5 3's, 3 4's, 4 5's, 2 6's, 3 7's, 1 8.","We have: 3 1's, 5 2's, 2 3's, 1 4, 2 5's, 1 7.",Directed,1682,,,3
"We have: 1 0, 6 1's, 7 2's, 5 3's, 3 4's, 4 5's, 3 6's, 2 7's, 1 8.","We have: 3 1's, 5 2's, 2 3's, 1 4, 2 5's, 1 6.",Directed,1683,,,4
"We have: 1 0, 6 1's, 7 2's, 5 3's, 5 4's, 7 5's, 5 6's, 4 7's.","We have: 4 1's, 6 2's, 4 3's, 3 4's, 3 5's, 3 6's, 1 7.",Directed,1684,,,1
"We have: 1 0, 6 1's, 7 2's, 5 3's, 6 4's, 4 5's, 5 6's, 3 7's, 1 8.","We have: 3 1's, 6 2's, 3 3's, 4 4's, 1 5, 2 6's, 1 7.",Directed,1685,,,1
"We have: 1 0, 6 1's, 7 2's, 5 3's, 6 4's, 4 5's, 5 6's, 4 7's.","We have: 4 1's, 6 2's, 4 3's, 3 4's, 1 5, 2 6's, 2 7's.",Directed,1686,,,1
"We have: 1 0, 6 1's, 7 2's, 5 3's, 6 4's, 5 5's, 6 6's, 4 7's.","We have: 4 1's, 6 2's, 4 3's, 4 4's, 2 5's, 2 6's, 2 7's.",Directed,1687,,,5
"We have: 1 0, 6 1's, 7 2's, 5 3's, 7 4's, 3 5's, 4 6's, 4 7's, 1 8.","We have: 3 1's, 6 2's, 3 3's, 4 4's, 1 5, 2 6's, 1 7.",Directed,1688,,,4
"We have: 1 0, 6 1's, 7 2's, 5 3's, 7 4's, 4 5's, 4 6's, 4 7's.","We have: 4 1's, 6 2's, 4 3's, 3 4's, 2 5's, 2 6's, 1 7.",Directed,1689,,,1
"We have: 1 0, 6 1's, 7 2's, 5 3's, 7 4's, 7 5's, 5 6's, 4 7's.","We have: 4 1's, 6 2's, 4 3's, 5 4's, 4 5's, 3 6's.",Directed,1690,,,1
"We have: 1 0, 6 1's, 7 2's, 6 3's, 5 5's, 6 6's, 2 7's, 1 8.","We have: 3 1's, 5 2's, 5 3's, 3 5's, 2 6's.",Directed,1691,,,8
"We have: 1 0, 6 1's, 7 2's, 6 3's, 1 4, 3 5's, 3 6's, 3 7's, 2 8's.","We have: 3 1's, 5 2's, 2 3's, 2 5's, 1 7, 1 8.",Directed,1692,,,2
"We have: 1 0, 6 1's, 7 2's, 6 3's, 1 4, 5 5's, 6 6's, 2 7's.","We have: 3 1's, 5 2's, 5 3's, 3 5's, 2 6's.",Directed,1693,,,7
"We have: 1 0, 6 1's, 7 2's, 6 3's, 2 4's, 3 5's, 3 6's, 3 7's, 1 8.","We have: 3 1's, 5 2's, 2 3's, 1 4, 2 5's, 1 7.",Directed,1694,,,2
"We have: 1 0, 6 1's, 7 2's, 6 3's, 3 4's, 3 5's, 3 6's, 3 7's, 2 8's.","We have: 4 1's, 5 2's, 1 3, 2 4's, 2 5's, 1 7, 1 8.",Directed,1695,,,1
"We have: 1 0, 6 1's, 7 2's, 6 3's, 5 4's, 3 5's, 6 6's, 3 7's, 1 8.","We have: 3 1's, 6 2's, 3 3's, 4 4's, 1 5, 2 6's, 1 7.",Directed,1696,,,2
"We have: 1 0, 6 1's, 7 2's, 6 3's, 5 4's, 3 5's, 6 6's, 4 7's.","We have: 4 1's, 6 2's, 4 3's, 3 4's, 1 5, 2 6's, 2 7's.",Directed,1697,,,5
"We have: 1 0, 6 1's, 7 2's, 6 3's, 5 4's, 4 5's, 6 6's, 3 7's.","We have: 4 1's, 6 2's, 4 3's, 3 4's, 2 5's, 2 6's, 1 7.",Directed,1698,,,1
"We have: 1 0, 6 1's, 7 2's, 6 3's, 5 4's, 5 5's, 3 6's, 2 7's, 1 8.","We have: 3 1's, 5 2's, 4 3's, 4 4's, 2 5's.",Directed,1699,,,6
"We have: 1 0, 6 1's, 7 2's, 6 3's, 5 4's, 5 5's, 6 6's, 4 7's.","We have: 4 1's, 6 2's, 5 3's, 3 4's, 2 5's, 2 6's, 2 7's.",Directed,1700,,,4
"We have: 1 0, 6 1's, 7 2's, 6 3's, 6 4's, 3 5's, 4 6's, 2 7's, 1 8.","We have: 3 1's, 5 2's, 4 3's, 4 4's, 2 5's.",Directed,1701,,,4
