Input,Output
"[0, 12, 12, 11, 3, 5]","[0, 3, 5, 5, 2, 3]"
"[0, 3, 0, 3, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[0, 4, 2, 5, 4, 3]","[0, 3, 0, 3, 1, 1]"
"[0, 14, 3, 11, 11, 4]","[0, 4, 2, 5, 4, 3]"
"[0, 3, 1, 3, 1, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 5, 4, 2]","[0, 3, 1, 3, 1, 0]"
"[0, 14, 4, 11, 11, 3]","[0, 4, 3, 5, 4, 2]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]"
"[1, 12, 12, 11, 3, 4]","[0, 2, 5, 5, 1, 3]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]"
"[1, 13, 11, 11, 2, 5]","[0, 2, 5, 5, 1, 3]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]"
"[2, 11, 12, 10, 4, 4]","[0, 2, 5, 5, 1, 3]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[1, 2, 5, 5, 0, 3]","[0, 0, 3, 3, 0, 0]"
"[2, 13, 11, 11, 1, 5]","[1, 2, 5, 5, 0, 3]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]"
"[3, 10, 10, 13, 3, 4]","[0, 2, 5, 5, 1, 3]"
"[1, 2, 3, 2, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[2, 3, 5, 5, 0, 3]","[1, 2, 3, 2, 0, 0]"
"[3, 12, 12, 11, 0, 5]","[2, 3, 5, 5, 0, 3]"
"[0, 3, 0, 3, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[1, 5, 0, 5, 3, 4]","[0, 3, 0, 3, 1, 1]"
"[3, 14, 0, 11, 5, 10]","[1, 5, 0, 5, 3, 4]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]"
"[4, 10, 10, 10, 4, 5]","[0, 2, 5, 5, 1, 3]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[1, 2, 5, 5, 0, 3]","[0, 0, 3, 3, 0, 0]"
"[4, 10, 12, 10, 2, 5]","[1, 2, 5, 5, 0, 3]"
"[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[1, 2, 5, 5, 0, 3]","[0, 0, 3, 3, 0, 0]"
"[4, 11, 10, 10, 4, 4]","[1, 2, 5, 5, 0, 3]"
"[1, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[4, 12, 3, 12, 4, 4]","[3, 5, 0, 10, 0, 3]"
"[1, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[4, 12, 3, 13, 2, 5]","[3, 5, 0, 10, 0, 3]"
"[1, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[4, 13, 1, 13, 4, 4]","[3, 5, 0, 10, 0, 3]"
"[1, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[4, 14, 1, 11, 4, 5]","[3, 5, 0, 10, 0, 3]"
"[1, 3, 0, 3, 0, 1]","[0, 0, 0, 0, 0, 0]"
"[3, 5, 0, 10, 0, 3]","[1, 3, 0, 3, 0, 1]"
"[5, 15, 2, 11, 1, 10]","[3, 5, 0, 10, 0, 3]"
"[0, 2, 3, 2, 1, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 3, 5, 5, 2, 3]","[0, 2, 3, 2, 1, 0]"
"[1, 13, 11, 12, 3, 5]","[0, 3, 5, 5, 2, 3]"
"[0, 3, 0, 3, 1, 1]","[0, 0, 0, 0, 0, 0]"
"[0, 4, 2, 5, 4, 3]","[0, 3, 0, 3, 1, 1]"
"[2, 13, 4, 11, 10, 5]","[0, 4, 2, 5, 4, 3]"
"[0, 3, 1, 3, 1, 0]","[0, 0, 0, 0, 0, 0]"
"[0, 4, 3, 5, 4, 2]","[0, 3, 1, 3, 1, 0]"
"[2, 13, 5, 11, 10, 4]","[0, 4, 3, 5, 4, 2]"
"[0, 3, 0, 3, 1, 1]","[0, 0, 0, 0, 0, 0]"
