Source,Target,Type,ID,Label,timeset,weight
"We have: 10 0's, 22 1's, 20 2's, 12 3's, 11 4's, 4 5's.","We have: 3 0's, 13 1's, 11 2's, 11 3's, 5 4's, 3 5's.",Directed,105,,,1
"We have: 10 0's, 22 1's, 21 2's, 12 3's, 1 4, 10 5's.","We have: 3 0's, 12 1's, 12 2's, 11 3's, 5 5's.",Directed,106,,,14
"We have: 10 0's, 22 1's, 5 2's, 13 3's, 5 4's, 12 5's.","We have: 4 0's, 14 1's, 1 2, 11 3's, 4 4's, 5 5's.",Directed,107,,,12
"We have: 10 0's, 23 1's, 12 2's, 15 3's, 4 4's, 11 5's.","We have: 4 0's, 13 1's, 5 2's, 13 3's, 2 4's, 5 5's.",Directed,108,,,15
"We have: 10 0's, 23 1's, 14 2's, 11 3's, 11 4's, 10 5's.","We have: 3 0's, 11 1's, 12 2's, 5 3's, 5 4's, 5 5's.",Directed,109,,,8
"We have: 10 0's, 23 1's, 15 2's, 11 3's, 5 4's, 13 5's.","We have: 4 0's, 13 1's, 13 2's, 4 3's, 4 4's, 10 5's.",Directed,110,,,2
"We have: 10 0's, 24 1's, 11 2's, 14 3's, 5 4's, 11 5's.","We have: 4 0's, 13 1's, 5 2's, 13 3's, 2 4's, 5 5's.",Directed,111,,,3
"We have: 10 0's, 24 1's, 15 2's, 12 3's, 11 4's, 10 5's.","We have: 3 0's, 13 1's, 12 2's, 11 3's, 5 4's, 4 5's.",Directed,112,,,1
"We have: 10 0's, 25 1's, 11 2's, 13 3's, 10 4's, 12 5's.","We have: 3 0's, 14 1's, 4 2's, 11 3's, 5 4's, 10 5's.",Directed,113,,,16
"We have: 10 0's, 25 1's, 13 2's, 12 3's, 12 4's, 12 5's.","We have: 4 0's, 15 1's, 4 2's, 10 3's, 11 4's, 10 5's.",Directed,114,,,19
"We have: 10 0's, 25 1's, 15 2's, 11 3's, 4 4's, 13 5's.","We have: 4 0's, 15 1's, 13 2's, 5 3's, 2 4's, 10 5's.",Directed,115,,,2
"We have: 10 0's, 25 1's, 21 2's, 11 3's, 3 4's, 12 5's.","We have: 4 0's, 15 1's, 13 2's, 5 3's, 2 4's, 10 5's.",Directed,116,,,1
"We have: 10 0's, 30 1's, 12 2's, 14 3's, 5 4's, 11 5's.","We have: 3 0's, 20 1's, 10 2's, 12 3's, 3 4's, 5 5's.",Directed,117,,,6
"We have: 10 0's, 30 1's, 22 2's, 15 3's, 10 4's, 12 5's.","We have: 2 0's, 21 1's, 14 2's, 13 3's, 5 4's, 10 5's.",Directed,118,,,7
"We have: 10 0's, 30 1's, 32 2's, 15 3's, 20 4's, 12 5's.","We have: 2 0's, 22 1's, 24 2's, 12 3's, 15 4's, 10 5's.",Directed,119,,,4
"We have: 10 0's, 31 1's, 12 2's, 12 3's, 12 4's, 11 5's.","We have: 4 0's, 15 1's, 4 2's, 10 3's, 11 4's, 10 5's.",Directed,120,,,1
"We have: 10 0's, 31 1's, 22 2's, 15 3's, 10 4's, 13 5's.","We have: 3 0's, 21 1's, 15 2's, 12 3's, 5 4's, 11 5's.",Directed,121,,,2
