Source,Target,Type,ID,Label,timeset,Weight
"We have: 11 1's, 3 2's, 9 3's, 5 4's, 7 5's, 6 6's, 7 7's, 1 8, 2 9's.","We have: 7 1's, 1 2, 7 3's, 4 4's, 5 5's, 4 6's, 4 7's.",Directed,87,,,1
"We have: 11 1's, 4 2's, 11 3's, 3 4's, 6 5's, 8 6's, 4 8's, 3 9's.","We have: 6 1's, 3 2's, 8 3's, 5 5's, 6 6's, 2 8's, 2 9's.",Directed,88,,,1
"We have: 11 1's, 4 2's, 11 3's, 3 4's, 6 5's, 8 6's, 3 7's, 4 8's.","We have: 6 1's, 3 2's, 8 3's, 5 5's, 6 6's, 2 7's, 2 8's.",Directed,89,,,1
"We have: 11 1's, 4 2's, 13 3's, 5 4's, 8 5's, 5 6's, 3 7's, 3 8's, 4 9's.","We have: 7 1's, 3 2's, 9 3's, 2 4's, 5 5's, 4 6's, 2 7's, 1 8, 3 9's.",Directed,90,,,1
"We have: 11 1's, 4 2's, 13 3's, 5 4's, 8 5's, 5 6's, 4 7's, 3 8's, 3 9's.","We have: 7 1's, 3 2's, 9 3's, 2 4's, 5 5's, 4 6's, 3 7's, 1 8, 2 9's.",Directed,91,,,1
"We have: 11 1's, 4 2's, 6 3's, 5 4's, 6 5's, 4 6's, 1 7, 1 8, 1 9.","We have: 5 1's, 3 2's, 5 3's, 2 4's, 4 5's, 1 6.",Directed,92,,,2
"We have: 11 1's, 4 2's, 6 3's, 6 4's, 6 5's, 5 6's, 1 7, 1 8, 1 9.","We have: 5 1's, 3 2's, 5 3's, 4 4's, 4 5's, 1 6.",Directed,93,,,2
"We have: 11 1's, 4 2's, 7 3's, 5 4's, 4 5's, 4 6's, 5 7's, 1 8, 2 9's.","We have: 7 1's, 2 2's, 6 3's, 1 4, 1 5, 3 6's, 3 7's, 1 9.",Directed,94,,,2
"We have: 11 1's, 4 2's, 7 3's, 5 4's, 4 5's, 4 6's, 5 7's, 2 8's, 1 9.","We have: 7 1's, 2 2's, 6 3's, 1 4, 1 5, 3 6's, 3 7's, 1 8.",Directed,95,,,2
"We have: 11 1's, 4 2's, 8 3's, 4 4's, 3 5's, 4 6's, 2 7's, 5 8's, 2 9's.","We have: 8 1's, 1 2, 6 3's, 1 5, 3 6's, 1 7, 3 8's, 1 9.",Directed,96,,,3
"We have: 11 1's, 4 2's, 8 3's, 5 4's, 3 5's, 4 6's, 1 7, 4 8's, 1 9.","We have: 6 1's, 3 2's, 6 3's, 1 4, 1 5, 3 6's, 2 8's.",Directed,97,,,1
"We have: 11 1's, 4 2's, 8 3's, 5 4's, 4 5's, 4 6's, 1 7, 3 8's, 1 9.","We have: 6 1's, 3 2's, 6 3's, 1 4, 2 5's, 3 6's, 1 8.",Directed,98,,,1
"We have: 11 1's, 4 2's, 8 3's, 5 4's, 5 5's, 5 6's, 1 7, 3 8's, 1 9.","We have: 6 1's, 3 2's, 6 3's, 3 4's, 1 5, 4 6's, 1 8.",Directed,99,,,1
"We have: 11 1's, 4 2's, 9 3's, 5 4's, 3 5's, 4 6's, 1 7, 1 8, 3 9's.","We have: 6 1's, 3 2's, 6 3's, 2 4's, 1 5, 3 6's, 1 9.",Directed,100,,,1
"We have: 11 1's, 4 2's, 9 3's, 5 4's, 3 5's, 4 6's, 2 7's, 4 8's, 3 9's.","We have: 8 1's, 2 2's, 6 3's, 1 4, 1 5, 3 6's, 1 7, 3 8's, 1 9.",Directed,101,,,1
"We have: 11 1's, 4 2's, 9 3's, 5 4's, 3 5's, 6 6's, 1 7, 1 8, 3 9's.","We have: 6 1's, 3 2's, 6 3's, 3 4's, 1 5, 4 6's, 1 9.",Directed,102,,,1
"We have: 11 1's, 4 2's, 9 3's, 8 4's, 4 5's, 7 6's, 6 7's, 6 8's, 2 9's.","We have: 8 1's, 2 2's, 8 3's, 5 4's, 3 5's, 4 6's, 4 7's, 4 8's.",Directed,103,,,1
"We have: 11 1's, 5 2's, 11 3's, 2 4's, 7 5's, 7 6's, 3 7's, 4 9's.","We have: 6 1's, 3 2's, 9 3's, 5 5's, 6 6's, 3 9's.",Directed,104,,,1
"We have: 11 1's, 5 2's, 11 3's, 7 4's, 6 5's, 7 6's, 3 7's, 4 8's, 4 9's.","We have: 6 1's, 4 2's, 9 3's, 4 4's, 4 5's, 5 6's, 3 8's, 3 9's.",Directed,105,,,1
"We have: 11 1's, 5 2's, 11 3's, 7 4's, 7 5's, 6 6's, 3 7's, 4 8's, 4 9's.","We have: 6 1's, 4 2's, 9 3's, 4 4's, 5 5's, 4 6's, 3 8's, 3 9's.",Directed,106,,,1
"We have: 11 1's, 5 2's, 12 3's, 1 4, 7 5's, 7 6's, 3 7's, 3 8's, 3 9's.","We have: 6 1's, 3 2's, 8 3's, 5 5's, 6 6's, 2 8's, 2 9's.",Directed,107,,,1
"We have: 11 1's, 5 2's, 12 3's, 3 4's, 7 5's, 7 6's, 3 7's, 3 8's, 1 9.","We have: 6 1's, 3 2's, 8 3's, 2 4's, 5 5's, 6 6's, 2 8's.",Directed,108,,,1
"We have: 11 1's, 5 2's, 12 3's, 5 4's, 9 5's, 5 6's, 3 7's, 3 8's, 3 9's.","We have: 7 1's, 3 2's, 8 3's, 4 4's, 5 5's, 4 6's, 2 7's, 2 8's, 1 9.",Directed,109,,,1
"We have: 11 1's, 5 2's, 13 3's, 3 4's, 9 5's, 5 6's, 3 7's, 2 8's, 5 9's.","We have: 7 1's, 3 2's, 9 3's, 2 4's, 5 5's, 4 6's, 2 7's, 1 8, 3 9's.",Directed,110,,,1
"We have: 11 1's, 5 2's, 13 3's, 5 4's, 8 5's, 6 6's, 3 7's, 3 8's, 4 9's.","We have: 7 1's, 4 2's, 9 3's, 3 4's, 5 5's, 4 6's, 2 7's, 1 8, 3 9's.",Directed,111,,,1
"We have: 11 1's, 5 2's, 13 3's, 5 4's, 8 5's, 6 6's, 4 7's, 3 8's, 3 9's.","We have: 7 1's, 4 2's, 9 3's, 3 4's, 5 5's, 4 6's, 3 7's, 1 8, 2 9's.",Directed,112,,,1
"We have: 11 1's, 5 2's, 7 3's, 5 4's, 4 5's, 4 6's, 4 7's, 1 8, 2 9's.","We have: 7 1's, 3 2's, 6 3's, 1 4, 1 5, 3 6's, 2 7's, 1 9.",Directed,113,,,1
"We have: 11 1's, 5 2's, 7 3's, 5 4's, 4 5's, 4 6's, 4 7's, 2 8's, 1 9.","We have: 7 1's, 3 2's, 6 3's, 1 4, 1 5, 3 6's, 2 7's, 1 8.",Directed,114,,,2
"We have: 11 1's, 5 2's, 8 3's, 3 4's, 5 5's, 4 6's, 2 7's, 5 8's, 2 9's.","We have: 8 1's, 2 2's, 6 3's, 1 4, 1 5, 3 6's, 1 7, 3 8's, 1 9.",Directed,115,,,1
"We have: 11 1's, 5 2's, 8 3's, 8 4's, 6 5's, 7 6's, 7 7's, 4 8's, 1 9.","We have: 7 1's, 4 2's, 7 3's, 6 4's, 4 5's, 5 6's, 4 7's, 1 8.",Directed,116,,,1
"We have: 11 1's, 5 2's, 8 3's, 8 4's, 7 5's, 6 6's, 7 7's, 4 8's, 1 9.","We have: 7 1's, 4 2's, 7 3's, 6 4's, 5 5's, 4 6's, 4 7's, 1 8.",Directed,117,,,1
"We have: 11 1's, 5 2's, 8 3's, 8 4's, 8 5's, 1 6, 5 7's, 5 8's, 2 9's.","We have: 7 1's, 3 2's, 7 3's, 7 4's, 4 5's, 4 7's, 1 8, 1 9.",Directed,118,,,1
"We have: 11 1's, 5 2's, 8 3's, 8 4's, 8 5's, 2 6's, 5 7's, 5 8's, 1 9.","We have: 7 1's, 3 2's, 7 3's, 7 4's, 4 5's, 1 6, 4 7's, 1 8.",Directed,119,,,1
"We have: 11 1's, 5 2's, 9 3's, 5 4's, 4 5's, 2 6's, 4 7's, 4 8's, 3 9's.","We have: 8 1's, 3 2's, 7 3's, 1 4, 1 5, 1 6, 3 7's, 3 8's, 1 9.",Directed,120,,,1
"We have: 11 1's, 5 2's, 9 3's, 6 4's, 6 5's, 7 6's, 7 7's, 1 8, 3 9's.","We have: 7 1's, 4 2's, 7 3's, 5 4's, 4 5's, 4 6's, 4 7's, 1 9.",Directed,121,,,1
"We have: 11 1's, 5 2's, 9 3's, 7 4's, 8 5's, 5 6's, 4 7's, 7 8's, 5 9's.","We have: 8 1's, 4 2's, 8 3's, 5 4's, 4 5's, 4 6's, 1 7, 5 8's, 3 9's.",Directed,122,,,1
"We have: 11 1's, 5 2's, 9 3's, 7 4's, 9 5's, 6 6's, 5 7's, 5 8's, 4 9's.","We have: 8 1's, 4 2's, 8 3's, 5 4's, 5 5's, 4 6's, 3 7's, 4 8's, 1 9.",Directed,123,,,1
"We have: 11 1's, 5 2's, 9 3's, 9 4's, 6 5's, 3 6's, 5 7's, 1 8, 4 9's.","We have: 7 1's, 4 2's, 7 3's, 7 4's, 3 5's, 1 6, 4 7's, 1 9.",Directed,124,,,1
"We have: 11 1's, 6 2's, 11 3's, 3 4's, 6 5's, 9 6's, 3 7's, 3 8's, 2 9's.","We have: 6 1's, 4 2's, 7 3's, 2 4's, 5 5's, 6 6's, 2 7's, 2 8's.",Directed,125,,,1
"We have: 11 1's, 6 2's, 11 3's, 6 4's, 5 5's, 7 6's, 3 7's, 3 8's.","We have: 6 1's, 5 2's, 8 3's, 5 4's, 3 5's, 4 6's, 1 7, 2 8's.",Directed,126,,,1
"We have: 11 1's, 6 2's, 11 3's, 6 4's, 5 5's, 9 6's, 3 8's, 3 9's.","We have: 6 1's, 5 2's, 8 3's, 5 4's, 3 5's, 6 6's, 2 8's, 1 9.",Directed,127,,,1
"We have: 11 1's, 6 2's, 11 3's, 6 4's, 6 5's, 7 6's, 5 7's, 1 8, 3 9's.","We have: 5 1's, 5 2's, 9 3's, 5 4's, 4 5's, 3 6's, 3 7's, 2 9's.",Directed,128,,,1
"We have: 11 1's, 6 2's, 11 3's, 7 4's, 4 5's, 7 6's, 3 7's, 3 8's, 2 9's.","We have: 6 1's, 4 2's, 8 3's, 5 4's, 3 5's, 5 6's, 2 8's, 1 9.",Directed,129,,,1
"We have: 11 1's, 6 2's, 11 3's, 7 4's, 5 5's, 7 6's, 4 7's, 4 8's, 3 9's.","We have: 6 1's, 5 2's, 9 3's, 4 4's, 3 5's, 5 6's, 1 7, 3 8's, 2 9's.",Directed,130,,,1
