Source,Target,Type,ID,Label,timeset,Weight
"We have: 10011111 0's, 10110101 1's.","We have: 10011001 0's, 10101001 1's.",Directed,118,,,1
"We have: 10011111 0's, 11000101 1's.","We have: 10011000 0's, 10111010 1's.",Directed,119,,,2
"We have: 1010 0's, 10000 1's.","We have: 11 0's, 1100 1's.",Directed,120,,,1
"We have: 101000 0's, 110011 1's.","We have: 100001 0's, 101100 1's.",Directed,121,,,2
"We have: 1010000 0's, 1001010 1's.","We have: 1000110 0's, 1000100 1's.",Directed,122,,,1
"We have: 1010000 0's, 1011001 1's.","We have: 1000111 0's, 1010010 1's.",Directed,123,,,22
"We have: 10100000 0's, 10110100 1's.","We have: 10010101 0's, 10101101 1's.",Directed,124,,,4
"We have: 10100001 0's, 10110011 1's.","We have: 10011000 0's, 10101010 1's.",Directed,125,,,1
"We have: 10100001 0's, 11000011 1's.","We have: 10010111 0's, 10111011 1's.",Directed,126,,,173
"We have: 1010001 0's, 1011000 1's.","We have: 1001000 0's, 1010001 1's.",Directed,127,,,1
"We have: 1010001 0's, 1100110 1's.","We have: 1001001 0's, 1011110 1's.",Directed,128,,,1
"We have: 10100010 0's, 10110010 1's.","We have: 10011000 0's, 10101010 1's.",Directed,129,,,54
"We have: 10100010 0's, 11000010 1's.","We have: 10010111 0's, 10111011 1's.",Directed,130,,,1
"We have: 101000100 0's, 101110111 1's.","We have: 100111011 0's, 101101100 1's.",Directed,131,,,4
"We have: 101000100 0's, 110001011 1's.","We have: 100111001 0's, 110000010 1's.",Directed,132,,,20
"We have: 101000101 0's, 110001010 1's.","We have: 100111010 0's, 110000001 1's.",Directed,133,,,24
"We have: 10100011 0's, 10110001 1's.","We have: 10011010 0's, 10101000 1's.",Directed,134,,,1
"We have: 10100011 0's, 11000001 1's.","We have: 10011001 0's, 10111001 1's.",Directed,135,,,3
"We have: 101000110 0's, 110001001 1's.","We have: 100111011 0's, 110000000 1's.",Directed,136,,,6
"We have: 1010010 0's, 1100101 1's.","We have: 1001010 0's, 1011101 1's.",Directed,137,,,3
"We have: 10100100 0's, 10110000 1's.","We have: 10011001 0's, 10101001 1's.",Directed,138,,,2
"We have: 10100100 0's, 11000000 1's.","We have: 10011000 0's, 10111010 1's.",Directed,139,,,3
"We have: 1010011 0's, 1001000 1's.","We have: 1001010 0's, 1000001 1's.",Directed,140,,,7
"We have: 1010011 0's, 1010111 1's.","We have: 1001101 0's, 1001101 1's.",Directed,141,,,1
"We have: 101001101 0's, 110010110 1's.","We have: 101000100 0's, 110001011 1's.",Directed,142,,,19
"We have: 10100111 0's, 10111111 1's.","We have: 10100010 0's, 10110010 1's.",Directed,143,,,1
"We have: 10100111 0's, 11001111 1's.","We have: 10100001 0's, 11000011 1's.",Directed,144,,,29
"We have: 101001110 0's, 110010101 1's.","We have: 101000101 0's, 110001010 1's.",Directed,145,,,1
"We have: 101001111 0's, 110000000 1's.","We have: 101000100 0's, 101110111 1's.",Directed,146,,,3
"We have: 101001111 0's, 110010100 1's.","We have: 101000110 0's, 110001001 1's.",Directed,147,,,1
"We have: 10101 0's, 10011 1's.","We have: 10000 0's, 1100 1's.",Directed,148,,,367
