Input,Output
"[1000110, 1000100]","[111100, 111110]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[1000000, 111011]","[111000, 110100]"
"[1001010, 1000001]","[1000000, 111011]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101100, 111101]","[100111, 110100]"
"[110011, 1000101]","[101100, 111101]"
"[111001, 1001110]","[110011, 1000101]"
"[1000010, 1010101]","[111001, 1001110]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101011, 111110]","[100111, 110100]"
"[110100, 1000100]","[101011, 111110]"
"[111010, 1001101]","[110100, 1000100]"
"[1000011, 1010100]","[111010, 1001101]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111001, 1000001]","[110001, 111010]"
"[111110, 1001011]","[111001, 1000001]"
"[1000110, 1010011]","[111110, 1001011]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111010, 1000000]","[110001, 111010]"
"[111111, 1001010]","[111010, 1000000]"
"[1000111, 1010010]","[111111, 1001010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111001, 1000001]","[110001, 111010]"
"[111110, 1001011]","[111001, 1000001]"
"[1001000, 1010001]","[111110, 1001011]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111010, 1000000]","[110001, 111010]"
"[111111, 1001010]","[111010, 1000000]"
"[1001001, 1010000]","[111111, 1001010]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[111100, 111110]","[111000, 110100]"
"[1000101, 1000101]","[111100, 111110]"
"[1001011, 1001111]","[1000101, 1000101]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[10101, 10011]","[10000, 1100]"
"[11001, 11011]","[10101, 10011]"
"[11110, 100011]","[11001, 11011]"
"[100101, 101010]","[11110, 100011]"
"[101011, 110010]","[100101, 101010]"
"[110001, 111010]","[101011, 110010]"
"[111010, 1000000]","[110001, 111010]"
"[1000100, 1000110]","[111010, 1000000]"
"[1001100, 1001110]","[1000100, 1000110]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[111100, 111110]","[111000, 110100]"
"[1000110, 1000100]","[111100, 111110]"
"[1001101, 1001101]","[1000110, 1000100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[111100, 111110]","[111000, 110100]"
"[1000110, 1000100]","[111100, 111110]"
"[1001110, 1001100]","[1000110, 1000100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[111100, 111110]","[111000, 110100]"
"[1000110, 1000100]","[111100, 111110]"
"[1010000, 1001010]","[1000110, 1000100]"
"[11, 100]","[0, 0]"
"[1001, 1000]","[11, 100]"
"[10000, 1100]","[1001, 1000]"
"[11000, 10000]","[10000, 1100]"
"[100000, 10101]","[11000, 10000]"
"[100101, 11101]","[100000, 10101]"
"[101011, 100101]","[100101, 11101]"
"[110001, 101101]","[101011, 100101]"
"[111000, 110100]","[110001, 101101]"
"[1000000, 111011]","[111000, 110100]"
"[1001010, 1000001]","[1000000, 111011]"
"[1010011, 1001000]","[1001010, 1000001]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101100, 111101]","[100111, 110100]"
"[110011, 1000101]","[101100, 111101]"
"[111001, 1001110]","[110011, 1000101]"
"[1000010, 1010101]","[111001, 1001110]"
"[1001001, 1011110]","[1000010, 1010101]"
"[0, 11]","[0, 0]"
"[0, 111]","[0, 11]"
"[11, 1100]","[0, 111]"
"[1001, 10001]","[11, 1100]"
"[10000, 10110]","[1001, 10001]"
"[10011, 11111]","[10000, 10110]"
"[11001, 100110]","[10011, 11111]"
"[100001, 101100]","[11001, 100110]"
"[100111, 110100]","[100001, 101100]"
"[101011, 111110]","[100111, 110100]"
"[110100, 1000100]","[101011, 111110]"
"[111010, 1001101]","[110100, 1000100]"
